City,Country,Lat,Lng,Temp,Date,Humidity,Max Temp,Wind Speed,Cloudiness
Port Elizabeth,ZA,-33.92,25.57,64.4,1587245863,93,64.4,2.24,0
Ulaangom,MN,49.98,92.07,33.35,1587246248,50,33.35,1.81,0
Udachny,RU,66.42,112.4,8.6,1587246248,50,8.6,4.47,0
Lebu,CL,-37.62,-73.65,61.65,1587246056,72,61.65,5.7,34
Saint Paul Harbor,US,57.79,-152.41,46.4,1587246057,75,46.4,12.75,1
Lavrentiya,RU,65.58,-171.0,18.59,1587246249,95,18.59,9.57,100
Butaritari,KI,3.07,172.79,83.21,1587246250,77,83.21,15.82,76
Rikitea,PF,-23.12,-134.97,77.09,1587246250,73,77.09,7.54,18
Margate,GB,51.38,1.39,47.75,1587246250,92,48.0,12.28,15
Dingle,PH,11.0,122.67,78.66,1587246251,82,78.66,9.37,2
Port Alfred,ZA,-33.59,26.89,63.0,1587246251,94,63.0,4.0,0
Rutland,US,43.62,-73.02,43.38,1587246252,41,44.01,9.17,90
Līsakovsk,KZ,52.54,62.49,46.85,1587246252,77,46.85,11.1,82
Mataura,NZ,-46.19,168.86,43.3,1587246252,89,43.3,4.52,100
Vestmanna,FO,62.16,-7.17,42.8,1587246252,81,42.8,11.41,0
Zhangjiakou,CN,40.81,114.88,48.9,1587246253,51,48.9,3.89,100
Busselton,AU,-33.65,115.33,60.66,1587246121,72,63.0,24.92,100
Castro,BR,-24.79,-50.01,61.27,1587246253,58,61.27,3.71,43
Río Gallegos,AR,-51.62,-69.22,59.0,1587246253,30,59.0,21.92,87
Mossamedes,AO,-15.2,12.15,74.34,1587246254,71,74.34,4.61,78
Diego de Almagro,CL,-26.37,-70.05,77.32,1587246254,21,77.32,8.37,0
Ushuaia,AR,-54.8,-68.3,50.0,1587246034,69,50.0,8.05,75
Hithadhoo,MV,-0.6,73.08,83.77,1587246027,75,83.77,11.65,99
Saint-Philippe,RE,-21.36,55.77,69.33,1587246063,78,75.2,9.17,10
Punta Arenas,CL,-53.15,-70.92,53.38,1587246255,46,53.6,19.46,40
Faya,SA,18.39,42.45,63.5,1587246085,72,64.4,10.29,88
Ancud,CL,-41.87,-73.82,55.4,1587246256,93,55.4,12.75,90
Puerto Ayora,EC,-0.74,-90.35,83.5,1587246256,70,86.0,11.41,75
Airai,TL,-8.93,125.41,59.76,1587246257,56,59.76,2.86,44
Kasempa,ZM,-13.46,25.83,62.89,1587246257,65,62.89,5.64,43
Iqaluit,CA,63.75,-68.51,6.39,1587246257,60,6.8,4.7,20
Kalabo,ZM,-14.97,22.68,69.91,1587246258,53,69.91,4.88,93
Poum,NC,-20.23,164.02,78.22,1587246035,77,78.22,14.2,74
Loa Janan,ID,-0.58,117.09,75.88,1587246259,94,75.88,1.57,100
Dalby,AU,-27.18,151.27,57.81,1587246259,93,59.0,4.7,40
Neyshabur,IR,36.21,58.8,55.17,1587246259,38,55.17,5.35,57
Hermanus,ZA,-34.42,19.23,64.0,1587246251,54,64.0,1.01,69
Chara,RU,56.91,118.26,10.63,1587246261,76,10.63,6.8,100
Atuona,PF,-9.8,-139.03,82.47,1587246262,79,82.47,18.37,89
Itararé,BR,-24.11,-49.33,66.0,1587246263,91,66.0,4.0,32
Tiksi,RU,71.69,128.87,3.87,1587246263,85,3.87,4.38,55
Tuktoyaktuk,CA,69.45,-133.04,8.6,1587245985,84,8.6,6.93,75
Thompson,CA,55.74,-97.86,15.8,1587246264,47,15.8,16.11,20
Duvan,RU,55.7,57.9,32.99,1587246264,81,32.99,6.82,27
Tasiilaq,GL,65.61,-37.64,33.8,1587246264,80,33.8,14.99,100
Kutoarjo,ID,-7.72,109.91,78.64,1587246264,79,78.64,4.23,97
Bluff,NZ,-46.6,168.33,45.9,1587246142,85,45.9,7.43,100
Vaini,TO,-21.2,-175.2,78.8,1587246265,78,78.8,11.41,75
Mar del Plata,AR,-38.0,-57.56,71.82,1587246088,56,72.0,6.93,1
Sorong,ID,-0.88,131.25,76.8,1587246266,87,76.8,0.22,52
Hirara,JP,24.8,125.28,74.17,1587246142,87,74.17,16.73,100
Kavaratti,IN,10.57,72.64,84.13,1587246266,71,84.13,4.56,1
Alofi,NU,-19.06,-169.92,80.6,1587246266,88,80.6,9.17,32
Hobart,AU,-42.88,147.33,44.46,1587246018,87,46.0,8.05,75
Karabulak,RU,43.3,44.9,40.8,1587246266,86,44.6,4.47,100
Parral,MX,26.93,-105.67,83.7,1587246267,8,83.7,27.58,65
Albany,US,42.6,-73.97,46.0,1587246267,67,46.0,1.99,93
Grand Gaube,MU,-20.01,57.66,77.65,1587246267,88,78.01,14.99,40
Berlevåg,NO,70.86,29.09,35.73,1587246267,83,35.73,15.43,95
Baoning,CN,25.34,110.03,68.0,1587246267,100,68.0,2.24,75
Havre-St-Pierre,CA,50.23,-63.6,35.6,1587246268,55,35.6,9.17,1
Hong Kong,HK,22.29,114.16,71.98,1587246231,83,75.0,3.0,33
Bredasdorp,ZA,-34.53,20.04,53.6,1587246268,93,53.6,4.7,46
Zabid,YE,14.2,43.32,88.38,1587246269,57,88.38,9.22,77
Roebourne,AU,-20.78,117.13,82.44,1587246270,57,82.44,7.85,100
Springbok,ZA,-29.66,17.89,55.17,1587246270,39,55.17,2.1,56
Kruisfontein,ZA,-34.0,24.73,65.19,1587246270,43,65.19,6.08,0
New Norfolk,AU,-42.78,147.06,42.89,1587245983,87,44.01,2.44,60
Cherskiy,RU,68.75,161.3,2.01,1587246271,87,2.01,6.58,42
Sioux Lookout,CA,50.1,-91.92,38.88,1587246091,51,39.2,10.29,90
Jamestown,US,42.1,-79.24,44.17,1587246272,45,46.0,16.11,40
Odesa,UA,46.48,30.73,46.4,1587246201,49,46.4,5.99,15
Yellowknife,CA,62.46,-114.35,23.27,1587246273,85,24.01,13.87,90
Chāndbāli,IN,20.78,86.77,80.26,1587246273,86,80.26,10.45,0
Bambous Virieux,MU,-20.34,57.76,77.49,1587246273,88,78.01,14.99,40
Pisco,PE,-13.7,-76.22,74.68,1587246273,64,75.2,16.11,21
Chui,UY,-33.7,-53.46,66.63,1587246273,82,66.63,7.23,18
Talnakh,RU,69.49,88.4,37.4,1587246274,74,37.4,29.08,100
Mehamn,NO,71.04,27.85,33.1,1587246274,91,33.1,7.87,28
Boguchany,RU,58.38,97.45,24.39,1587246274,93,24.39,4.07,0
Geraldton,AU,-28.77,114.6,65.46,1587246274,82,66.2,6.93,40
Erzin,TR,36.96,36.2,65.17,1587246275,63,66.2,11.41,96
San Policarpo,PH,12.18,125.51,81.57,1587246275,78,81.57,14.65,22
Padang,ID,-0.95,100.35,78.28,1587246276,77,78.28,1.59,95
Bethel,US,41.37,-73.41,40.46,1587246276,86,42.01,6.93,90
Meru,KE,0.05,37.66,65.19,1587246277,53,65.19,3.56,100
Marzuq,YE,14.4,46.47,74.8,1587246278,47,74.8,4.34,83
Rawson,AR,-43.3,-65.1,69.08,1587246025,63,69.08,17.13,76
Dikson,RU,73.51,80.55,35.24,1587246008,89,35.24,19.1,100
Saint George,US,37.1,-113.58,69.91,1587246000,28,70.0,10.29,75
Saint-Joseph,RE,-21.37,55.62,69.51,1587246008,78,75.2,9.17,11
Nanortalik,GL,60.14,-45.24,29.5,1587246019,91,29.5,3.91,82
Governador Valadares,BR,-18.85,-41.95,73.29,1587246035,83,73.29,3.18,75
Reconquista,AR,-29.15,-59.65,75.11,1587246281,47,75.11,5.03,0
Klaksvík,FO,62.23,-6.59,42.8,1587246021,81,42.8,11.41,0
Wamba,NG,8.93,8.6,82.22,1587246282,52,82.22,0.65,36
Cockburn Town,TC,21.46,-71.14,82.4,1587246283,65,82.4,10.29,40
Charters Towers,AU,-20.1,146.27,71.55,1587246283,81,71.55,4.18,22
Kem',RU,64.96,34.58,32.86,1587246283,95,32.86,14.25,99
Khatanga,RU,71.97,102.5,9.54,1587246039,93,9.54,5.06,0
Fortuna,US,40.6,-124.16,56.86,1587246076,76,59.0,6.73,90
Qaanaaq,GL,77.48,-69.36,20.75,1587246284,87,20.75,9.42,100
Mahon,ES,39.89,4.27,62.6,1587246285,93,62.6,8.05,100
Codrington,AU,-38.27,141.97,50.97,1587246285,84,50.97,8.48,72
Westport,US,41.14,-73.36,43.39,1587246286,61,46.4,12.75,90
Torbay,CA,47.67,-52.73,37.29,1587246027,44,37.99,11.41,75
Mafinga,TZ,-7.25,35.07,65.73,1587246286,67,65.73,2.82,98
Mitú,CO,1.2,-70.17,74.75,1587246203,84,74.75,3.11,98
Ketchikan,US,55.34,-131.65,52.9,1587246286,66,53.6,17.22,1
Ugra,RU,54.78,34.33,33.73,1587246287,83,33.73,6.51,74
Port-Cartier,CA,50.03,-66.87,35.82,1587246056,59,36.0,10.29,75
Luganville,VU,-15.53,167.17,81.46,1587246287,79,81.46,4.68,48
Tabou,CI,4.42,-7.35,79.79,1587246287,87,79.79,7.99,100
Nikolskoye,RU,59.7,30.79,35.4,1587246288,91,37.4,13.42,75
Clyde River,CA,70.47,-68.59,14.0,1587246288,85,14.0,3.36,75
Soyo,AO,-6.13,12.37,79.16,1587246289,79,79.16,3.02,100
Najrān,SA,17.49,44.13,78.8,1587246289,47,78.8,13.87,40
Hilo,US,19.73,-155.09,77.59,1587246263,51,82.4,11.41,40
Yeppoon,AU,-23.13,150.73,73.4,1587246151,94,73.4,5.82,90
Saskylakh,RU,71.92,114.08,8.49,1587246292,79,8.49,5.37,0
Baykit,RU,61.67,96.37,18.95,1587246292,91,18.95,1.5,0
Quatre Cocos,MU,-20.21,57.76,77.54,1587246293,88,78.01,14.99,40
Wakkanai,JP,45.41,141.67,41.18,1587246293,75,41.18,10.69,71
Grindavik,IS,63.84,-22.43,35.08,1587246293,93,35.6,8.05,90
Erenhot,CN,43.65,111.98,46.94,1587246294,49,46.94,11.07,56
Bay Roberts,CA,47.6,-53.26,38.12,1587246294,47,39.0,5.01,22
Sur,OM,22.57,59.53,82.44,1587246284,57,82.44,6.85,28
Cape Town,ZA,-33.93,18.42,62.6,1587246181,59,62.6,1.12,91
Rome,US,43.21,-75.46,45.59,1587246200,36,46.99,20.8,20
São João da Barra,BR,-21.64,-41.05,75.2,1587246283,78,75.2,11.41,20
Husavik,IS,66.04,-17.34,44.6,1587246295,75,44.6,27.51,75
Kapaa,US,22.08,-159.32,78.91,1587246157,65,80.6,8.05,1
Laas,IT,46.62,10.7,53.6,1587246296,58,53.6,6.93,20
Comodoro Rivadavia,AR,-45.87,-67.5,71.6,1587246296,33,71.6,17.22,75
Isangel,VU,-19.55,169.27,79.59,1587246296,81,79.59,10.49,85
Shiyan,CN,32.65,110.78,47.61,1587246297,79,47.61,2.84,23
Norman Wells,CA,65.28,-126.83,39.2,1587246297,86,39.2,19.46,90
Bonthe,SL,7.53,-12.51,80.2,1587246298,78,80.2,7.58,75
Avarua,CK,-21.21,-159.78,80.6,1587246037,74,80.6,5.82,54
Berdigestyakh,RU,62.1,126.7,5.22,1587246298,92,5.22,2.98,96
Port Lincoln,AU,-34.73,135.87,58.19,1587246012,75,58.19,8.25,33
Santa Isabel Rio Negro,BR,-0.41,-65.02,81.7,1587246299,81,81.7,3.42,48
Cayenne,GF,4.93,-52.33,84.2,1587246299,74,84.2,8.05,20
Maniitsoq,GL,65.42,-52.9,26.78,1587246093,92,26.78,17.85,100
Komsomolets,KZ,53.75,62.07,43.03,1587246299,71,43.03,8.41,66
East London,ZA,-33.02,27.91,71.22,1587246300,66,71.22,17.54,0
Port-Gentil,GA,-0.72,8.78,82.06,1587246300,83,82.06,10.16,59
São Filipe,CV,14.9,-24.5,71.69,1587246096,73,71.69,21.59,14
Flin Flon,CA,54.77,-101.86,23.0,1587246301,41,23.0,16.11,20
Barrow,US,71.29,-156.79,1.4,1587246007,77,1.4,13.87,1
Newport,GB,51.59,-3.0,47.41,1587246302,96,50.0,6.71,43
George Town,MY,5.41,100.34,80.11,1587246302,94,82.4,3.36,40
Pangnirtung,CA,66.15,-65.71,7.84,1587246302,86,7.84,1.03,99
Longyearbyen,SJ,78.22,15.64,28.4,1587246144,74,28.4,2.24,20
Qiongshan,CN,20.01,110.35,75.2,1587246303,88,75.2,4.47,62
Senneterre,CA,48.38,-77.23,44.6,1587246303,36,44.6,12.75,75
Sola,VU,-13.88,167.55,82.83,1587246284,78,82.83,12.12,85
Ostrovnoy,RU,68.05,39.51,30.58,1587246304,97,30.58,8.61,99
Santa Maria,BR,-29.68,-53.81,69.48,1587246304,63,69.48,4.94,0
Chokurdakh,RU,70.63,147.92,-6.72,1587246305,88,-6.72,8.59,100
Kishanganj,IN,26.12,87.93,77.56,1587246305,63,77.56,7.96,2
Tandil,AR,-37.32,-59.13,65.86,1587246305,61,65.86,9.95,0
Tessalit,ML,20.2,1.01,87.4,1587246306,11,87.4,5.64,5
Tupelo,US,34.26,-88.7,63.88,1587246306,39,64.4,3.36,1
Mapiri,BO,-15.25,-68.17,79.12,1587246306,35,79.12,3.62,24
Pevek,RU,69.7,170.31,-0.81,1587246306,91,-0.81,7.34,29
Salalah,OM,17.02,54.09,82.4,1587246036,69,82.4,5.82,40
Hay River,CA,60.82,-115.8,39.2,1587246017,55,39.2,2.24,75
Tugulym,RU,57.06,64.64,41.0,1587246308,86,41.0,8.95,49
Esperance,AU,-33.87,121.9,59.0,1587246308,100,59.0,13.87,75
Dunedin,NZ,-45.87,170.5,52.11,1587246308,60,53.01,7.94,100
Sisophon,KH,13.59,102.97,80.69,1587246309,75,80.69,4.61,21
Kysyl-Syr,RU,63.9,122.76,1.11,1587246310,91,1.11,6.33,16
Byron Bay,AU,-28.65,153.62,64.2,1587246310,93,64.4,4.7,40
Arraial do Cabo,BR,-22.97,-42.03,74.43,1587246158,78,75.2,4.7,75
Lüderitz,NA,-26.65,15.16,57.2,1587246311,93,57.2,2.24,7
Trairi,BR,-3.28,-39.27,80.26,1587246091,79,80.26,4.05,51
Poplar Bluff,US,36.76,-90.39,57.42,1587246313,41,57.99,6.93,1
Ayr,GB,55.46,-4.63,44.06,1587246313,70,46.4,9.17,3
Hambantota,LK,6.12,81.12,81.46,1587246313,80,81.46,6.29,23
Natal,BR,-5.79,-35.21,82.4,1587246223,78,82.4,4.7,40
Paamiut,GL,61.99,-49.67,27.77,1587246314,94,27.77,23.58,100
Popondetta,PG,-8.75,148.25,77.0,1587246314,78,77.0,3.62,34
Baiyin,CN,36.56,104.21,44.49,1587246314,60,53.01,6.71,36
Varėna,LT,54.22,24.57,36.91,1587246315,64,37.4,3.36,75
Upernavik,GL,72.79,-56.15,24.46,1587246315,90,24.46,23.78,100
Port Hardy,CA,50.7,-127.42,51.8,1587246316,81,51.8,4.7,20
Praia,CV,14.92,-23.51,71.6,1587246316,60,71.6,26.4,20
Carnarvon,AU,-24.87,113.63,73.4,1587246316,88,73.4,9.17,40
Katsuura,JP,35.13,140.3,56.62,1587246317,82,60.01,5.82,20
Kuna,US,43.49,-116.42,66.22,1587246043,22,68.0,6.93,1
Helena,US,46.59,-112.04,51.8,1587246185,54,51.8,16.11,20
Taltal,CL,-25.4,-70.48,67.51,1587246319,67,67.51,4.92,26
Ziyang,CN,29.25,117.85,64.96,1587246320,89,64.96,1.57,100
Minsk,BY,53.9,27.57,35.6,1587246282,64,35.6,6.71,100
Mayo,US,38.89,-76.51,52.72,1587246086,47,54.0,14.52,20
Ningyang,CN,35.76,116.79,51.35,1587246322,84,51.35,6.51,100
Kununurra,AU,-15.77,128.73,73.4,1587246322,94,73.4,1.12,68
Pyapon,MM,16.28,95.68,72.55,1587246322,88,72.55,6.53,0
Ossora,RU,59.24,163.07,18.07,1587246323,90,18.07,5.08,0
Deputatsky,RU,69.3,139.9,-9.35,1587246323,72,-9.35,1.99,58
Yumen,CN,40.28,97.2,51.57,1587246324,24,51.57,11.27,93
Aklavik,CA,68.22,-135.01,23.61,1587246324,73,24.8,8.05,75
Marsh Harbour,BS,26.54,-77.06,80.74,1587246324,75,80.74,12.82,44
Santa Cruz de la Sierra,BO,-17.8,-63.17,86.0,1587246325,28,86.0,10.29,5
Edd,ER,13.93,41.69,86.81,1587246325,62,86.81,23.51,100
Sitka,US,57.05,-135.33,46.13,1587246326,87,46.4,3.36,40
Tumpat,MY,6.2,102.17,80.29,1587246326,83,80.6,3.36,20
Prince Rupert,CA,54.32,-130.32,51.8,1587246326,58,51.8,6.93,1
Kumul,CN,42.8,93.45,62.38,1587246326,21,62.38,11.95,100
Hamilton,US,39.18,-84.53,55.13,1587246257,47,57.0,9.17,1
Agirish,RU,61.92,63.02,36.73,1587246328,91,36.73,9.33,100
Naryan-Mar,RU,67.67,53.09,30.85,1587246328,98,30.85,4.9,100
Nouakchott,MR,18.09,-15.98,66.2,1587246242,82,66.2,17.22,0
Yangi Marg`ilon,UZ,40.43,71.72,53.6,1587246329,66,53.6,2.24,4
Muravlenko,RU,63.79,74.52,38.16,1587246329,92,38.16,11.68,100
Severnoye,RU,56.35,78.36,45.45,1587246089,79,45.45,10.38,100
Port Moresby,PG,-9.44,147.18,75.2,1587246330,100,75.2,3.36,20
Cabo San Lucas,MX,22.89,-109.91,76.87,1587246315,56,80.01,19.46,5
Marabu,MY,4.41,114.01,75.11,1587246332,100,75.2,1.12,75
Avera,US,33.19,-82.53,76.3,1587246137,27,78.8,8.05,1
San Quintín,MX,30.48,-115.95,64.15,1587246333,57,64.15,17.96,0
Ribeira Grande,PT,38.52,-28.7,62.78,1587246333,88,62.78,18.07,100
Rocha,UY,-34.48,-54.33,65.19,1587246086,81,65.19,6.91,0
Shunyi,CN,40.12,116.65,59.0,1587246333,54,59.0,6.71,100
Dagumba-an,PH,8.15,124.59,68.4,1587246334,65,68.4,3.15,53
Constitución,CL,-35.33,-72.42,65.19,1587246334,83,65.19,9.69,83
Barentu,ER,15.11,37.59,74.73,1587246335,18,74.73,5.01,61
Ambon City,ID,-3.7,128.18,82.69,1587246335,73,82.69,2.75,70
Santa Rosa,PH,14.31,121.11,81.45,1587246336,78,82.4,4.7,75
Amapá,BR,1.0,-52.0,78.58,1587246336,80,78.58,1.43,66
Eureka,US,40.8,-124.16,55.26,1587246336,71,55.99,5.01,99
Haines Junction,CA,60.75,-137.51,47.34,1587246336,44,47.34,2.1,12
Staritsa,RU,56.51,34.94,34.27,1587246337,89,34.27,7.63,93
Ilulissat,GL,69.22,-51.1,24.8,1587246337,79,24.8,5.82,100
Saint Anthony,US,45.02,-93.22,61.36,1587246338,38,64.4,12.75,90
Aswān,EG,24.09,32.91,71.06,1587246089,23,71.06,8.25,6
Hangu,CN,39.25,117.79,60.8,1587246339,41,60.8,4.47,100
Arlit,NE,18.74,7.39,88.29,1587246340,10,88.29,3.22,0
Tuatapere,NZ,-46.13,167.68,46.4,1587246277,83,46.4,4.81,54
Kahului,US,20.89,-156.47,78.73,1587246307,48,84.2,19.46,20
Wichita Falls,US,33.91,-98.49,65.32,1587246202,45,66.2,10.29,75
Hays,US,30.05,-98.03,59.74,1587246341,89,61.0,1.99,100
Raudeberg,NO,61.99,5.14,40.71,1587246341,75,42.8,5.82,0
Harper,LR,4.38,-7.72,80.46,1587246334,84,80.46,8.28,100
Samarai,PG,-10.62,150.67,80.65,1587246342,80,80.65,1.41,99
Batemans Bay,AU,-35.72,150.18,49.68,1587246315,100,57.0,1.72,95
Togul,RU,53.47,85.91,38.64,1587246342,70,38.64,7.99,0
Wasilla,US,61.58,-149.44,52.02,1587246343,66,55.4,2.59,90
Buraidah,SA,26.33,43.98,69.8,1587246343,77,69.8,18.34,95
Broome,US,42.25,-75.83,40.55,1587246343,48,42.01,16.11,90
Saint-Pierre,RE,-21.34,55.48,71.51,1587246344,83,77.0,11.41,20
Dedza,MW,-14.38,34.33,56.61,1587246344,66,56.61,6.29,19
Touros,BR,-5.2,-35.46,82.4,1587246344,83,82.4,6.93,75
Solnechnyy,RU,50.72,136.63,29.71,1587246080,87,29.71,3.53,84
Honiara,SB,-9.43,159.95,75.2,1587246233,94,75.2,2.24,40
Vila Franca do Campo,PT,37.72,-25.43,62.6,1587246346,93,62.6,13.87,75
Curanilahue,CL,-37.47,-73.35,65.01,1587246346,60,65.01,5.84,53
Shimoda,JP,34.67,138.95,55.99,1587246346,83,55.99,3.0,0
Dinard,FR,48.63,-2.06,55.54,1587246347,82,57.2,4.7,8
Lübben,DE,51.95,13.9,47.98,1587246347,50,48.99,1.01,7
Darovskoy,RU,58.77,47.96,33.01,1587246348,89,33.01,6.06,100
Kiryat Gat,IL,31.61,34.76,63.21,1587246183,18,66.0,7.49,0
Alice Springs,AU,-23.7,133.88,59.0,1587246348,54,59.0,4.7,20
Forrest City,US,35.01,-90.79,60.08,1587246349,51,60.8,4.23,1
Guerrero Negro,MX,27.98,-114.06,66.88,1587246350,54,66.88,20.78,0
Faanui,PF,-16.48,-151.75,82.87,1587246350,73,82.87,9.57,26
Nabire,ID,-3.37,135.48,76.96,1587246350,87,76.96,3.98,100
Mormugao,IN,15.4,73.8,79.48,1587246351,88,79.48,5.32,24
Severo-Kuril'sk,RU,50.68,156.12,34.39,1587246351,88,34.39,10.07,9
Lagoa,PT,39.05,-27.98,62.29,1587246351,91,62.29,23.26,100
Santa Fe,AR,-31.63,-60.7,76.6,1587246351,47,81.0,1.99,0
Kaitangata,NZ,-46.28,169.85,48.83,1587246079,75,53.01,4.0,100
Olafsvik,IS,64.89,-23.71,34.56,1587246353,88,34.56,2.62,100
Ewo,CG,-0.87,14.82,76.1,1587246353,76,76.1,2.42,86
Taoudenni,ML,22.68,-3.98,81.43,1587246353,43,81.43,24.67,14
Muros,ES,42.78,-9.06,48.79,1587246353,91,53.01,1.01,24
Hasaki,JP,35.73,140.83,53.19,1587246354,76,54.0,6.93,75
Road Town,VG,18.42,-64.62,82.0,1587246329,80,82.0,11.99,15
Vao,NC,-22.67,167.48,75.69,1587246355,69,75.69,10.04,74
Sæby,DK,57.33,10.52,36.0,1587246355,72,36.0,8.12,0
Portland,US,45.52,-122.68,51.98,1587246262,76,54.0,10.29,90
